  ,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
  | id            | tipo           | clas             | read_only | ctx | nome / simbolos                                                                                         |
  |---------------+----------------+------------------+-----------+-----+---------------------------------------------------------------------------------------------------------|
  | a1_flags      | unsigned int   | SCD_ClasSac      |           |     | Indicadores do ponto                                                                                    |
  |               |                |                  |           |     |             0x1 - K_PAS_FLG_ERREE                                                                       |
  |               |                |                  |           |     |             0x2 - K_PAS_FLG_FOVAR                                                                       |
  |               |                |                  |           |     |             0x4 - K_PAS_FLG_FALHA                                                                       |
  |               |                |                  |           |     |             0x8 - K_PAS_FLG_IVORG                                                                       |
  |               |                |                  |           |     |            0x10 - K_PAS_FLG_MAORG                                                                       |
  |               |                |                  |           |     |            0x20 - K_PAS_FLG_MANUA                                                                       |
  |               |                |                  |           |     |            0x40 - K_PAS_FLG_NINCI                                                                       |
  |               |                |                  |           |     |            0x80 - K_PAS_FLG_ANREC                                                                       |
  |               |                |                  |           |     |           0x100 - K_PAS_FLG_NOSUP                                                                       |
  |               |                |                  |           |     |           0x200 - K_PAS_FLG_AINIB                                                                       |
  |               |                |                  |           |     |           0x400 - K_PAS_FLG_ALRP                                                                        |
  |               |                |                  |           |     |           0x800 - K_PAS_FLG_SACOK                                                                       |
  |               |                |                  |           |     |          0x1000 - K_PAS_FLG_INVAL                                                                       |
  |               |                |                  |           |     |          0x2000 - K_PAS_FLG_FVORG                                                                       |
  |               |                |                  |           |     |          0x4000 - K_PAS_FLG_ALINT                                                                       |
  |               |                |                  |           |     |          0x8000 - K_PAS_FLG_SELAR                                                                       |
  |               |                |                  |           |     |       0x10000LL - K_PAS_FLG_SELSD                                                                       |
  |               |                |                  |           |     |       0x20000LL - K_PAS_FLG_AUREC                                                                       |
  |               |                |                  |           |     |       0x40000LL - K_PAS_FLG_APLUS                                                                       |
  |               |                |                  |           |     |       0x80000LL - K_PAS_FLG_SUBST                                                                       |
  |               |                |                  |           |     |      0x100000LL - K_PAS_FLG_CTRLME                                                                      |
  |               |                |                  |           |     |      0x200000LL - K_PAS_FLG_EEORG                                                                       |
  |               |                |                  |           |     |      0x400000LL - K_PAS_FLG_RAZOA                                                                       |
  |               |                |                  |           |     |      0x800000LL - K_PAS_FLG_LIMAN                                                                       |
  |               |                |                  |           |     |     0x1000000LL - K_PAS_FLG_LIMANBLOQ                                                                   |
  |               |                |                  |           |     |     0x2000000LL - K_PAS_FLG_NCOMISS                                                                     |
  |               |                |                  |           |     |     0x4000000LL - K_PAS_FLG_INVRT                                                                       |
  |               |                |                  |           |     |     0x8000000LL - K_PAS_FLG_ATINV                                                                       |
  |               |                |                  |           |     |    0x10000000LL - K_PAS_FLG_ANORG                                                                       |
  |               |                |                  |           |     |    0x20000000LL - K_PAS_FLG_SINCM                                                                       |
  |               |                |                  |           |     |    0x40000000LL - K_PAS_FLG_AIORG                                                                       |
  |               |                |                  |           |     |    0x80000000LL - K_PAS_FLG_TMPLIM                                                                      |
  | a2_flags      | short          | SAR_ClasEstado   |           |     | Indicadores do ponto para o valor estimado                                                              |
  |               |                |                  |           |     |               0 - K_EE_FLG_NORM                                                                         |
  |               |                |                  |           |     |               1 - K_EE_FLG_ERREE                                                                        |
  |               |                |                  |           |     |               2 - K_EE_FLG_NAOEST                                                                       |
  |               |                |                  |           |     |               3 - K_EE_FLG_EXCL                                                                         |
  |               |                |                  |           |     |               4 - K_EE_FLG_RLOC                                                                         |
  |               |                |                  |           |     |               5 - K_EE_FLG_REST                                                                         |
  |               |                |                  |           |     |               6 - K_EE_FLG_ANORM                                                                        |
  |               |                |                  |           |     |               7 - K_EE_FLG_EXCL_OPER                                                                    |
  |               |                |                  |           |     |               8 - K_EE_FLG_EXCL_DESL                                                                    |
  |               |                |                  |           |     |               9 - K_EE_FLG_EXCL_PRE                                                                     |
  |               |                |                  |           |     |              10 - K_EE_FLG_EXTERNO                                                                      |
  |               |                |                  |           |     |              11 - K_EE_FLG_QUAL_NAO_AVALIADA                                                            |
  |               |                |                  |           |     |              12 - K_EE_EQP_EXCLUIDO_EE                                                                  |
  | a3_flags      | short          | SAR_ClasContem   |           |     | Indicadores do ponto para o valor otimizado                                                             |
  |               |                |                  |           |     |               0 - K_CE_FLG_NORM                                                                         |
  |               |                |                  |           |     |               1 - K_CE_FLG_RELAXADA                                                                     |
  |               |                |                  |           |     |               2 - K_CE_FLG_NAOOT                                                                        |
  |               |                |                  |           |     |               3 - K_CE_FLG_CONTALT                                                                      |
  |               |                |                  |           |     |               4 - K_CE_FLG_CATIVO                                                                       |
  | a_alr         | unsigned short | SSC_ClasAlr      |           |     | Apontador para alarme do ponto                                                                          |
  | a_aor         | unsigned short | SIG_ClasConf     |           |     | Apontador para area de responsabilidade                                                                 |
  | a_eqp         | short          | SAR_ClasConfig   |           |     | Apontador para Equipamento associado                                                                    |
  | a_eqp_cad     | short          | STI_ClasCadastro | sim       |     | Apontador para Equipamento associado                                                                    |
  | a_est         | short          | STI_ClasCadastro | sim       |     | Apontador p/ a estacao                                                                                  |
  | a_lua         | unsigned short | SCD_ClasSac      | sim       |     | Apontador para calculo interpretado                                                                     |
  | a_ocr         | unsigned short | SCD_ClasSac      | sim       |     | Apontador para ocorrencias do ponto                                                                     |
  | a_paf         | unsigned int   | SCD_ClasDcp      | sim       |     | Apontador para ponto fisico                                                                             |
  | a_pcondalr    | unsigned int   | SCD_ClasSac      | sim       |     | Apontador para ponto digital condicionante da habilitacao do alarme                                     |
  | a_pmu         | short          | SCD_ClasSac      |           |     | Apontador para o PMU correspondente a este valor de PAS                                                 |
  | a_tcl         | unsigned int   | SIG_ClasGeral    | sim       |     | Apontador para tipo de calculo                                                                          |
  | a_tela        | unsigned short | SIG_ClasGeral    |           |     | Apontador para a tela associada ao ponto analogico                                                      |
  | a_term        | int            | SAR_ClasCad      | sim       |     | Apontador p/ o terminal associado ao PAS                                                                |
  | acor_a3_flags | short          | SAR_ClasAcor     |           | sim | Indicadores do ponto para o valor otimizado                                                             |
  |               |                |                  |           |     |               0 - K_CE_FLG_NORM                                                                         |
  |               |                |                  |           |     |               1 - K_CE_FLG_RELAXADA                                                                     |
  |               |                |                  |           |     |               2 - K_CE_FLG_NAOOT                                                                        |
  |               |                |                  |           |     |               3 - K_CE_FLG_CONTALT                                                                      |
  |               |                |                  |           |     |               4 - K_CE_FLG_CATIVO                                                                       |
  | acor_rgalrotm | unsigned char  | SAR_ClasAcor     |           | sim | Regiao corrente de alarme para valor otimizado                                                          |
  |               |                |                  |           |     |               0 - K_REG_NLRG                                                                            |
  |               |                |                  |           |     |               1 - K_REG_IESC                                                                            |
  |               |                |                  |           |     |               2 - K_REG_IURG                                                                            |
  |               |                |                  |           |     |               3 - K_REG_IADV                                                                            |
